,ques_link,vote_count,answer_count,ques_title,ques_summ,keywords,date
0,"""/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array""",26265,28,Why is processing a sorted array faster than processing an unsorted array?,"Here is a piece of C++ code that shows some very peculiar behavior. For some strange reason, sorting the data (before the timed region) miraculously makes the loop almost six times faster.
#include &...","['java', 'c++', 'performance', 'cpu-architecture', 'branch-prediction']",2012-06-27
1,"""/questions/927358/how-do-i-undo-the-most-recent-local-commits-in-git""",24035,98,How do I undo the most recent local commits in Git?,"I accidentally committed the wrong files to Git but didn't push the commit to the server yet.
How can I undo those commits from the local repository?
The only way seems to be to copy the edits in some ...","['git', 'version-control', 'git-commit', 'undo']",2010-06-30
2,"""/questions/2003505/how-do-i-delete-a-git-branch-locally-and-remotely""",18997,41,How do I delete a Git branch locally and remotely?,"I want to delete a branch both locally and remotely.
Failed Attempts to Delete a Remote Branch
$ git branch -d remotes/origin/bugfix
error: branch 'remotes/origin/bugfix' not found.

$ git branch -d ...","['git', 'version-control', 'git-branch', 'git-push', 'git-remote']",2010-01-05
3,"""/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch""",13069,38,What is the difference between 'git pull' and 'git fetch'?,What are the differences between git pull and git fetch?,"['git', 'version-control', 'git-pull', 'git-fetch']",2008-11-15
4,"""/questions/231767/what-does-the-yield-keyword-do""",11895,47,"What does the ""yield"" keyword do?","What is the use of the yield keyword in Python? What does it do?
For example, I'm trying to understand this code1:
def _get_child_candidates(self, distance, min_dist, max_dist):
    if self._leftchild ...","['python', 'iterator', 'generator', 'yield', 'coroutine']",2008-10-23
5,"""/questions/477816/what-is-the-correct-json-content-type""",11093,37,What is the correct JSON content type?,"I've been messing around with JSON for some time, just pushing it out as text and it hasn't hurt anybody (that I know of), but I'd like to start doing things properly.
I have seen so many purported &...","['json', 'rest', 'http-headers', 'mime-types', 'content-type']",2009-01-25
6,"""/questions/5767325/how-can-i-remove-a-specific-item-from-an-array""",10407,127,How can I remove a specific item from an array?,"I have an array of numbers and I'm using the .push() method to add elements to it.

Is there a simple way to remove a specific element from an array?

I'm looking for the equivalent of something like:
...","['javascript', 'arrays']",2011-04-23
7,"""/questions/348170/how-do-i-undo-git-add-before-commit""",10385,37,How do I undo 'git add' before commit?,"I mistakenly added files to Git using the command:

git add myfile.txt
I have not yet run git commit. Is there a way to undo this, so these files won't be included in the commit?","['git', 'undo', 'git-revert', 'git-add']",2008-12-07
8,"""/questions/6591213/how-do-i-rename-a-local-git-branch""",10265,36,How do I rename a local Git branch?,"I don't want to rename a remote branch, as described in Rename master branch for both local and remote Git repositories.
How can I rename a local branch which hasn't been pushed to a remote repository?...","['git', 'version-control', 'git-branch']",2011-07-06
9,"""/questions/1642028/what-is-the-operator-in-c-c""",9686,29,"What is the ""-->"" operator in C/C++?","After reading Hidden Features and Dark Corners of C++/STL on comp.lang.c++.moderated, I was completely surprised that the following snippet compiled and worked in both Visual Studio 2008 and G++ 4.4.
...","['c', 'operators', 'code-formatting', 'standards-compliance']",2010-06-30
10,"""/questions/79923/what-and-where-are-the-stack-and-heap""",8904,30,What and where are the stack and heap?,"Programming language books explain that value types are created on the stack, and reference types are created on the heap, without explaining what these two things are. I haven't read a clear ...","['memory-management', 'stack', 'language-agnostic', 'dynamic-memory-allocation', 'heap-memory']",2008-09-17
11,"""/questions/244777/can-comments-be-used-in-json""",8819,57,Can comments be used in JSON?,"Can I use comments inside a JSON file? If so, how?","['json', 'comments']",2008-10-28
12,"""/questions/1125968/how-do-i-force-git-pull-to-overwrite-local-files""",8524,48,"How do I force ""git pull"" to overwrite local files?","How do I force an overwrite of local files on a git pull?

The scenario is the following:
A team member is modifying the templates for a website we are working on
They are adding some images to the ...","['git', 'version-control', 'overwrite', 'git-pull', 'git-fetch']",2009-07-14
13,"""/questions/8318911/why-does-html-think-chucknorris-is-a-color""",8353,10,Why does HTML think “chucknorris” is a color?,"Why do certain random strings produce colors when entered as background colors in HTML?
For example, the following code produces a page with a red background across all browsers and platforms:


<...","['html', 'browser', 'background-color']",2011-11-29
14,"""/questions/178325/how-do-i-check-if-an-element-is-hidden-in-jquery""",8320,63,How do I check if an element is hidden in jQuery?,"Is it possible to toggle the visibility of an element, using the functions .hide(), .show() or .toggle()?

How would you test if an element is visible or hidden?","['javascript', 'jquery', 'dom', 'visibility']",2008-10-07
15,"""/questions/1335851/what-does-use-strict-do-in-javascript-and-what-is-the-reasoning-behind-it""",8129,29,"What does ""use strict"" do in JavaScript, and what is the reasoning behind it?","Recently, I ran some of my JavaScript code through Crockford's JSLint, and it gave the following error:
  Problem at line 1 character 1: Missing ""use strict"" statement.
Doing some searching, I ...","['javascript', 'syntax', 'jslint', 'use-strict']",2009-08-26
16,"""/questions/1783405/how-do-i-check-out-a-remote-git-branch""",7767,40,How do I check out a remote Git branch?,"Somebody pushed a branch called test with git push origin test to a shared repository. I can see the branch with git branch -r.

Now I'm trying to check out the remote test branch.

I've tried:
git ...","['git', 'git-checkout', 'remote-branch']",2009-11-23
17,"""/questions/503093/how-do-i-redirect-to-another-webpage""",7710,58,How do I redirect to another webpage?,How can I redirect the user from one page to another using jQuery or pure JavaScript?,"['javascript', 'jquery', 'redirect']",2009-02-02
18,"""/questions/179123/how-to-modify-existing-unpushed-commit-messages""",7656,27,"How to modify existing, unpushed commit messages?","I wrote the wrong thing in a commit message.

How can I change the message? The commit has not been pushed yet.","['git', 'git-commit', 'git-rewrite-history', 'git-amend']",2008-10-07
19,"""/questions/111102/how-do-javascript-closures-work""",7625,86,How do JavaScript closures work?,"How would you explain JavaScript closures to someone with a knowledge of the concepts they consist of (for example functions, variables and the like), but does not understand closures themselves?

I ...","['javascript', 'function', 'variables', 'scope', 'closures']",2010-06-30
20,"""/questions/4114095/how-do-i-revert-a-git-repository-to-a-previous-commit""",7620,41,How do I revert a Git repository to a previous commit?,"How do I revert from my current state to a snapshot made on a certain commit?

If I do git log, then I get the following output:

$ git log
commit a867b4af366350be2e7c21b8de9cc6504678a61b`
Author: Me &...","['git', 'git-checkout', 'git-reset', 'git-revert']",2010-11-06
21,"""/questions/61212/how-to-remove-local-untracked-files-from-the-current-git-working-tree""",7574,41,How to remove local (untracked) files from the current Git working tree,How do you delete untracked local files from your current working tree?,"['git', 'branch', 'git-branch']",2008-09-14
22,"""/questions/1789945/how-to-check-whether-a-string-contains-a-substring-in-javascript""",7417,3,How to check whether a string contains a substring in JavaScript?,"Usually I would expect a String.contains() method, but there doesn't seem to be one. 

What is a reasonable way to check for this?","['javascript', 'string', 'substring', 'string-matching']",2010-06-30
23,"""/questions/336859/var-functionname-function-vs-function-functionname""",7371,41,var functionName = function() {} vs function functionName() {},"I've recently started maintaining someone else's JavaScript code. I'm fixing bugs, adding features and also trying to tidy up the code and make it more consistent.

The previous developer used two ...","['javascript', 'function', 'syntax', 'idioms']",2008-12-03
24,"""/questions/40480/is-java-pass-by-reference-or-pass-by-value""",7363,92,"Is Java ""pass-by-reference"" or ""pass-by-value""?","I always thought Java uses pass-by-reference.
However, I've seen a blog post that claims that Java uses pass-by-value.
I don't think I understand the distinction they're making.
What is the ...","['java', 'methods', 'parameter-passing', 'pass-by-reference', 'pass-by-value']",2010-06-30
25,"""/questions/419163/what-does-if-name-main-do""",7356,39,"What does if __name__ == ""__main__"": do?","Given the following code, what does the if __name__ == ""__main__"": do?

# Threading example
import time, thread

def myfunction(string, sleeptime, lock, *args):
    while True:
        lock.acquire()
 ...","['python', 'namespaces', 'main', 'python-module', 'idioms']",2009-01-07
26,"""/questions/6841333/why-is-subtracting-these-two-times-in-1927-giving-a-strange-result""",7316,11,Why is subtracting these two times (in 1927) giving a strange result?,"If I run the following program, which parses two date strings referencing times 1 second apart and compares them:
public static void main(String[] args) throws ParseException {
    SimpleDateFormat sf ...","['java', 'date', 'timezone']",2011-07-27
27,"""/questions/394809/does-python-have-a-ternary-conditional-operator""",7193,31,Does Python have a ternary conditional operator?,"If Python does not have a ternary conditional operator, is it possible to simulate one using other language constructs?","['python', 'operators', 'conditional-operator']",2010-06-30
28,"""/questions/7074/what-is-the-difference-between-string-and-string-in-c""",7156,63,What is the difference between String and string in C#?,"Example (note the case):

string s = ""Hello world!"";
String s = ""Hello world!"";
What are the guidelines for the use of each? And what are the differences?","['c#', '.net', 'string', 'types', 'alias']",2010-06-30
29,"""/questions/1274057/how-can-i-make-git-forget-about-a-file-that-was-tracked-but-is-now-in-gitign""",7015,31,"How can I make Git ""forget"" about a file that was tracked, but is now in .gitignore?","There is a file that was being tracked by Git, but now the file is on the .gitignore list.
However, that file keeps showing up in git status after it's edited. How do you force Git to completely ...","['git', 'gitignore', 'git-rm']",2009-08-13
30,"""/questions/208105/how-do-i-remove-a-property-from-a-javascript-object""",6944,33,How do I remove a property from a JavaScript object?,"Say I create an object as follows:
let myObject = {
  ""ircEvent"": ""PRIVMSG"",
  ""method"": ""newURI"",
  ""regex"": ""^http://.*""
};

How should I ...",['javascript'],2008-10-16
31,"""/questions/100003/what-are-metaclasses-in-python""",6668,24,What are metaclasses in Python?,"In Python, what are metaclasses and what do we use them for?","['python', 'oop', 'metaclass', 'python-class', 'python-datamodel']",2008-09-19
32,"""/questions/82831/how-do-i-check-whether-a-file-exists-without-exceptions""",6555,39,How do I check whether a file exists without exceptions?,"How do I check whether a file exists or not, without using the try statement?","['python', 'file', 'file-exists']",2008-09-17
33,"""/questions/16956810/how-do-i-find-all-files-containing-specific-text-on-linux""",6546,53,How do I find all files containing specific text on Linux?,"I'm trying to find a way to scan my entire Linux system for all files containing a specific string of text. Just to clarify, I'm looking for text within the file, not in the file name.

When I was ...","['linux', 'text', 'grep', 'directory', 'find']",2013-06-06
34,"""/questions/14220321/how-to-return-the-response-from-an-asynchronous-call""",6305,43,How to return the response from an asynchronous call,"I have a function foo which makes an asynchronous request. How can I return the response/result from foo?
I am trying to return the value from the callback, as well as assigning the result to a local ...","['javascript', 'ajax', 'asynchronous']",2013-01-08
35,"""/questions/2025282/what-is-the-difference-between-px-dip-dp-and-sp""",6182,36,"What is the difference between ""px"", ""dip"", ""dp"" and ""sp""?","What is the difference between Android units of measure?
px
dip
dp
sp","['android', 'android-layout', 'user-interface', 'dimension', 'units-of-measurement']",2010-01-08
36,"""/questions/38987/how-do-i-merge-two-dictionaries-in-a-single-expression-take-union-of-dictionari""",6176,56,How do I merge two dictionaries in a single expression (take union of dictionaries)?,"I have two Python dictionaries, and I want to write a single expression that returns these two dictionaries, merged (i.e. taking the union).  The update() method would be what I need, if it returned ...","['python', 'dictionary', 'merge']",2008-09-02
37,"""/questions/630453/what-is-the-difference-between-post-and-put-in-http""",5928,38,What is the difference between POST and PUT in HTTP?,"According to RFC 2616, § 9.5, POST is used to create a resource:

The POST method is used to request that the origin server accept the entity enclosed in the request as a new subordinate of the ...","['http', 'rest', 'post', 'put']",2009-03-10
